Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PEP,PepsiCo Inc. Common Stock,$175.40,2.10,1.212%,242621804440.00,United States,,3364109,Consumer Non-Durables,Beverages (Production/Distribution)
PFE,Pfizer Inc. Common Stock,$49.71,0.68,1.387%,280750868407.00,United States,,16898725,Health Care,Biotechnology: Pharmaceutical Preparations
PG,Procter & Gamble Company (The) Common Stock,$159.85,0.06,0.038%,383527600034.00,United States,,3912179,Consumer Non-Durables,Package Goods/Cosmetics
SHEL,Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$53.90,0.85,1.602%,203126488249.00,Netherlands,,2811457,Energy,Oil & Gas Production
TM,Toyota Motor Corporation Common Stock,$168.27,1.45,0.869%,231847480014.00,Japan,,156688,Capital Goods,Auto Manufacturing
TMO,Thermo Fisher Scientific Inc Common Stock,$522.58,6.14,1.189%,204558448162.00,United States,,1183307,Capital Goods,Biotechnology: Laboratory Analytical Instruments
TSLA,Tesla Inc. Common Stock,$880.51,4.09,0.467%,910013786562.00,United States,2010,23128566,Capital Goods,Auto Manufacturing
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$90.72,-2.05,-2.21%,470455657248.00,Taiwan,1997,10339602,Technology,Semiconductors
UNH,UnitedHealth Group Incorporated Common Stock (DE),$515.40,1.62,0.315%,483934466128.00,United States,,2543789,Health Care,Medical Specialities
V,Visa Inc.,$214.155,13.055,6.492%,449290924039.00,United States,,12880840,Miscellaneous,Business Services
VFC,V.F. Corporation Common Stock,$52.62,0.20,0.382%,654848182961.00,United States,,1671162,Consumer Non-Durables,Apparel
VZ,Verizon Communications Inc. Common Stock,$48.675,-0.735,-1.488%,204435000000.00,United States,,23791141,Public Utilities,Telecommunications Equipment
WMT,Walmart Inc. Common Stock,$154.48,-0.82,-0.528%,425249744050.00,United States,,4173125,Consumer Services,Department/Specialty Retail Stores
XOM,Exxon Mobil Corporation Common Stock,$84.935,2.645,3.214%,358907597918.00,United States,,25765145,Energy,Oil & Gas Production
